"book_title","paper_id","dc_type","authors","year","source","keyword"
"Video:                  Data as an Asset: What the Upstream Oil & Gas Industry Can Learn About ""Big Data"" from Companies like Social Media","SPE-170633-PT","presentation","Perrons, Robert K, Queensland University of Technology | Jensen, Jesse W., Intel Corporation",2014,"SPE","'big+data'"
"Data as an Asset: What the Upstream Oil & Gas Industry Can Learn About ""Big Data"" from Companies like Social Media","SPE-170633-MS","conference-paper","Perrons, Robert K, Queensland University of Technology | Jensen, Jesse W., Intel Corporation",2014,"SPE","'big+data'"
"A Unified Framework for Implementing Business Intelligence, Real-time Operational Intelligence and Big Data Analytics for Upstream Oil Industry Operators","SPE-167410-MS","conference-paper","Akoum, Mohamad, ADCO | Mahjoub, Alaa, ADCO",2013,"SPE","'big+data'"
"Big Data Analysis Using Bayesian Network Modeling: A Case Study With WG-ICDA of a Gas Storage Field","NACE-2018-11267","conference-paper","Hilgefort, Kyle, DNV GL",2018,"NACE","'big+data'"
"Applying Big Data Analytics to Logistics Processes of Oil and Gas Exploration and Production Through a Hybrid Modeling and Simulation Approach","OTC-26274-MS","conference-paper","Sousa, C. J. N., Petrobras | Santos, I. H. F., Petrobras | Almeida, V. T., Petrobras | Almeida, A. R., Petrobras | Silva, G. M., Petrobras | Ciarlini, A. E., EMC Brazil R&D Center | Prado, A., EMC Brazil R&D Center | Senra, R. D. A., EMC Brazil R&D Center",2015,"OTC","'big+data'"
"Computational Advances and Data Analytics to Reduce Subsurface Uncertainty","ARMA-2016-493","conference-paper","Baker, D. Vic, Mid-Atlantic Technology, Research & Innovation Center | Kelly, Rose, National Energy Technology Laboratory | Bauer, Jennifer, AECOM, National Energy Technology Laboratory | Rager, David, Optimal Solutions Technologies Inc., National Energy Technology Laboratory",2016,"ARMA","'big+data'"
"Crossover Technologies Enhance Innovation in Oil Industry","SPE-0915-0080-JPT","journal-paper","Henni, Abdelghani, JPT Middle East Editor",2015,"SPE","'big+data'"
"Applications of Virtual and Mixed Reality in Rock Engineering","ARMA-2018-798","conference-paper","Onsel, I. E., Simon Fraser University | Donati, D., Simon Fraser University | Stead, D., Simon Fraser University | Chang, O., Simon Fraser University",2018,"ARMA","'big+data'"
"Mining FracFocus and Production Data for Efficacy of Fracturing Fluid Formulations","SPE-191787-18ERM-MS","conference-paper","Luo, Hongyu, Isoproppant LLC | Zhang, Yongqiang, Isoproppant LLC",2018,"SPE","'big+data'"
"How to Implement Tech in Shipbuilding: Charting the Course to Success","SNAME-SMC-2018-044","conference-paper","Morais, Denis, SSI | Waldie, Mark, SSI",2018,"SNAME","'big+data'"
"Video:                  The Dawn of the New Age of the Industrial Internet and How it can Radically Transform the Offshore Oil and Gas Industry","OTC-27638-PT","presentation","Sharma, Partha, DNV GL | Hamedifar, Hamed, DNV GL | Brown, Aaron, DNV GL | Green, Richard, DNV GL",2017,"OTC","'big+data'"
"The Dawn of the New Age of the Industrial Internet and How it can Radically Transform the Offshore Oil and Gas Industry","OTC-27638-MS","conference-paper","Sharma, Partha, DNV GL | Hamedifar, Hamed, DNV GL | Brown, Aaron, DNV GL | Green, Richard, DNV GL",2017,"OTC","'big+data'"
"Using Data Analytics to Analyze Reservoir Databases","SPE-174900-MS","conference-paper","Lee, Brian B., The University of Texas at Austin | Lake, Larry W., The University of Texas at Austin",2015,"SPE","'big+data'"
"Preventing Claims and Grievances in Pipeline Projects: Using a Holistic Approach and Data Management Systems to Enhance Stakeholder Management","SPE-179382-MS","conference-paper","de Vos, Sjacco, Royal HaskoningDHV | Smits, Coco C. A., Royal HaskoningDHV",2016,"SPE","'big+data'"
"Development of a Powerful Data-Analysis Tool Using Nonparametric Smoothing Models To Identify Drillsites in Tight Shale Reservoirs With High Economic Potential","SPE-189440-PA","journal-paper","Cai, Quan, Texas A&M University | Yu, Wei, Texas A&M University | Liang, Hwa Chi, Texas A&M University | Liang, Jenn-Tai, Texas A&M University | Wang, Suojin, Texas A&M University | Wu, Kan, Texas A&M University",2018,"SPE","'big+data'"
"The Internet of Things in Upstream Oil and Gas - How Can Decisions Be Made in Real-Time and Safely Manage Risk?","SPE-181052-MS","conference-paper","Crockett, Brian J, Accenture, Ltd",2016,"SPE","'big+data'"
